x,y,z,name,state
52.32,13.28,85.74,a_004.JPG,0
52.32,13.18,83.34,a_005.JPG,1
52.32,13.18,80.63,a_006.JPG,1
52.32,13.18,78.25,a_007.JPG,1
52.32,13.28,76.02,a_008.JPG,1
52.32,13.58,72.99,a_009.JPG,1
52.32,14.28,69.18,a_010.JPG,0
52.32,14.48,66.62,a_011.JPG,0
52.32,12.38,67.1,a_012.JPG,0
52.32,12.18,69.98,a_013.JPG,0
52.32,11.68,73.32,a_014.JPG,1
52.32,11.48,76.18,a_015.JPG,1
52.32,11.38,78.41,a_016.JPG,1
52.32,11.38,80.79,a_017.JPG,1
52.32,11.48,83.5,a_018.JPG,1
52.32,11.58,85.74,a_019.JPG,0
52.32,11.98,88.76,a_020.JPG,0
52.32,11.98,91.15,a_021.JPG,0
52.32,12.48,94.49,a_022.JPG,0
52.32,10.18,91.46,a_024.JPG,0
52.32,10.08,88.92,a_025.JPG,0
52.32,9.88,85.9,a_026.JPG,0
52.32,9.78,83.5,a_027.JPG,1
52.32,9.68,81.27,a_028.JPG,1
52.32,9.78,78.57,a_029.JPG,1
52.32,9.78,76.34,a_030.JPG,1
52.32,9.88,73.95,a_031.JPG,1
52.32,10.18,70.77,a_032.JPG,0
52.32,10.38,66.95,a_033.JPG,0
52.32,8.48,66.79,a_034.JPG,0
52.32,8.18,71.09,a_035.JPG,0
52.32,8.18,73.95,a_036.JPG,1
52.32,8.18,76.34,a_037.JPG,1
52.32,8.18,79.2,a_038.JPG,1
52.32,8.08,81.44,a_039.JPG,1
52.32,8.08,83.66,a_040.JPG,1
52.32,8.58,87.69,a_041.JPG,0
52.32,8.28,88.92,a_042.JPG,0
52.32,6.48,88.92,a_047.JPG,0
52.32,6.28,87.69,a_048.JPG,0
52.32,6.58,83.5,a_049.JPG,1
52.32,6.58,81.44,a_050.JPG,1
52.32,6.58,79.2,a_051.JPG,1
52.32,6.58,76.34,a_052.JPG,1
52.32,6.48,74.11,a_053.JPG,1
52.32,6.48,70.14,a_054.JPG,1
52.32,6.48,67.27,a_055.JPG,0
52.32,4.38,67.11,a_056.JPG,0
52.32,4.48,70.14,a_057.JPG,1
52.32,4.78,73.95,a_058.JPG,1
52.32,4.88,76.34,a_059.JPG,1
52.32,4.88,79.04,a_060.JPG,1
52.32,4.88,81.27,a_061.JPG,1
52.32,4.98,83.5,a_062.JPG,1
52.32,4.08,87.69,a_063.JPG,0
