x,y,z,name,state
100.32,13.18,84.27,a_002.JPG,0
100.32,13.08,86.81,a_003.JPG,0
100.32,11.88,89.17,a_004.JPG,0
100.32,11.78,92.51,a_005.JPG,0
100.32,11.78,96.33,a_006.JPG,0
100.32,11.88,99.83,a_007.JPG,0
100.32,11.88,103.66,a_008.JPG,0
100.32,13.18,105.92,a_009.JPG,0
100.32,13.38,104.84,a_012.JPG,0
100.32,13.38,102.44,a_013.JPG,0
100.32,13.48,91.29,a_017.JPG,0
100.32,13.48,89.07,a_018.JPG,0
100.32,11.28,89.23,a_023.JPG,0
100.32,11.68,92.09,a_024.JPG,0
100.32,12.18,95.11,a_025.JPG,0
100.32,12.18,97.51,a_026.JPG,0
100.32,12.08,100.37,a_027.JPG,0
100.32,11.58,102.92,a_028.JPG,0
100.32,10.78,106.11,a_029.JPG,0
100.32,8.68,104.67,a_033.JPG,0
100.32,9.58,101.49,a_034.JPG,0
100.32,10.08,98.46,a_035.JPG,0
100.32,9.98,95.59,a_036.JPG,0
100.32,9.58,93.05,a_037.JPG,0
100.32,8.68,89.87,a_038.JPG,0
100.32,7.88,86.84,a_039.JPG,0
100.32,4.68,87.0,a_042.JPG,0
100.32,5.08,90.18,a_043.JPG,0
100.32,5.88,93.36,a_044.JPG,0
100.32,7.18,96.39,a_045.JPG,0
100.32,5.98,99.57,a_046.JPG,0
100.32,4.18,103.54,a_047.JPG,0
100.32,2.38,101.31,a_055.JPG,0
100.32,4.08,97.51,a_056.JPG,0
100.32,2.58,94.32,a_057.JPG,0
100.32,1.48,90.81,a_058.JPG,0
100.32,23.58,69.79,b_001.JPG,0
100.32,23.38,72.02,b_002.JPG,1
100.32,23.18,73.45,b_003.JPG,1
100.32,23.08,75.37,b_004.JPG,1
100.32,23.08,77.28,b_005.JPG,1
100.32,23.08,78.72,b_006.JPG,1
100.32,23.18,80.62,b_007.JPG,1
100.32,23.28,82.53,b_008.JPG,1
100.32,21.88,81.9,b_011.JPG,1
100.32,21.78,80.46,b_012.JPG,1
100.32,21.68,78.56,b_013.JPG,1
100.32,21.68,76.64,b_014.JPG,0
100.32,21.78,75.21,b_015.JPG,0
100.32,21.78,73.45,b_016.JPG,1
100.32,21.88,72.02,b_017.JPG,1
100.32,22.18,69.79,b_018.JPG,1
100.32,20.68,69.79,b_019.JPG,0
100.32,20.58,71.86,b_020.JPG,1
100.32,20.48,73.29,b_021.JPG,0
100.32,20.48,75.21,b_022.JPG,1
100.32,20.38,76.64,b_023.JPG,1
100.32,20.38,78.4,b_024.JPG,1
100.32,20.48,79.83,b_025.JPG,0
100.32,20.48,81.9,b_026.JPG,0
100.32,19.18,81.74,b_029.JPG,1
100.32,19.18,79.83,b_030.JPG,1
100.32,19.18,78.4,b_031.JPG,0
100.32,19.18,76.64,b_032.JPG,1
100.32,19.18,75.21,b_033.JPG,1
100.32,19.18,73.45,b_034.JPG,1
100.32,19.18,72.02,b_035.JPG,1
100.32,19.18,69.96,b_036.JPG,0
100.32,17.88,69.96,b_037.JPG,0
100.32,17.88,71.55,b_038.JPG,0
100.32,17.88,73.45,b_039.JPG,0
100.32,17.88,75.21,b_040.JPG,1
100.32,17.88,76.64,b_041.JPG,0
100.32,17.88,78.4,b_042.JPG,0
100.32,17.88,79.83,b_043.JPG,0
100.32,17.88,81.74,b_044.JPG,0
100.32,10.88,103.91,b_046.JPG,0
100.32,16.58,81.74,b_047.JPG,1
100.32,16.58,79.83,b_048.JPG,1
100.32,16.68,78.56,b_049.JPG,1
