x,y,z,name,state
90.46,13.48,108.18,a_004.JPG,0
88.26,13.18,108.18,a_005.JPG,0
86.19,13.08,108.18,a_006.JPG,0
83.58,12.88,108.18,a_007.JPG,0
81.51,12.88,108.18,a_008.JPG,0
79.45,12.88,108.18,a_009.JPG,0
77.37,12.98,108.18,a_010.JPG,0
77.92,11.38,108.18,a_011.JPG,0
80.13,11.38,108.18,a_012.JPG,0
82.06,11.38,108.18,a_013.JPG,0
83.99,11.48,108.18,a_014.JPG,0
86.47,11.68,108.18,a_015.JPG,0
88.54,11.78,108.18,a_016.JPG,0
90.87,11.78,108.18,a_017.JPG,0
93.63,12.08,108.18,a_018.JPG,0
96.26,12.28,108.18,a_019.JPG,0
100.11,12.78,108.18,a_020.JPG,0
96.8,10.38,108.18,a_022.JPG,0
93.77,10.28,108.18,a_023.JPG,0
91.01,10.08,108.18,a_024.JPG,0
88.26,10.08,108.18,a_025.JPG,0
86.6,10.08,108.18,a_026.JPG,0
84.4,10.08,108.18,a_027.JPG,0
81.92,9.98,108.18,a_028.JPG,0
80.27,9.98,108.18,a_029.JPG,0
77.51,9.98,108.18,a_030.JPG,0
77.65,8.48,108.18,a_031.JPG,0
80.27,8.48,108.18,a_032.JPG,0
81.92,8.48,108.18,a_033.JPG,0
84.4,8.48,108.18,a_034.JPG,0
86.47,8.48,108.18,a_035.JPG,0
88.54,8.48,108.18,a_036.JPG,0
90.87,8.48,108.18,a_037.JPG,0
93.63,8.48,108.18,a_038.JPG,0
96.67,8.48,108.18,a_039.JPG,0
97.35,6.48,108.18,a_042.JPG,0
94.32,6.68,108.18,a_043.JPG,0
91.42,6.78,108.18,a_044.JPG,0
88.68,6.88,108.18,a_045.JPG,0
86.47,6.88,108.18,a_046.JPG,0
84.26,6.98,108.18,a_047.JPG,0
82.2,6.88,108.18,a_048.JPG,0
80.13,6.98,108.18,a_049.JPG,0
77.51,6.98,108.18,a_050.JPG,0
77.51,5.38,108.18,a_051.JPG,0
79.72,5.48,108.18,a_052.JPG,0
82.2,5.38,108.18,a_053.JPG,0
84.4,5.38,108.18,a_054.JPG,0
86.33,5.28,108.18,a_055.JPG,0
88.54,5.18,108.18,a_056.JPG,0
91.28,4.98,108.18,a_057.JPG,0
93.63,4.78,108.18,a_058.JPG,0
96.8,4.58,108.18,a_059.JPG,0
76.55,1.98,108.18,a_071.JPG,0
79.3,2.18,108.18,a_072.JPG,0
81.63,0.18,108.18,a_073.JPG,0
83.58,2.18,108.18,a_074.JPG,0
85.78,1.98,108.18,a_075.JPG,0
88.4,1.68,108.18,a_076.JPG,0
82.84,20.48,83.98,b_002.JPG,0
73.8,13.68,108.18,b_003.JPG,1
71.73,13.58,108.18,b_004.JPG,1
69.52,13.68,108.18,b_005.JPG,0
60.93,20.48,83.98,b_006.JPG,1
61.11,12.58,108.18,b_009.JPG,0
64.28,12.38,108.18,b_010.JPG,0
66.77,12.18,108.18,b_011.JPG,0
69.52,12.08,108.18,b_012.JPG,0
71.59,12.08,108.18,b_013.JPG,0
73.8,12.08,108.18,b_014.JPG,0
76.28,12.28,108.18,b_015.JPG,0
79.03,12.48,108.18,b_016.JPG,0
78.62,10.68,108.18,b_017.JPG,0
76.69,10.68,108.18,b_018.JPG,0
73.93,10.68,108.18,b_019.JPG,0
