x,y,z,name,state
50.48,29.23,0.88,SE-20_01-06F_a_001.jpg,1
50.33,28.83,4.75,SE-20_01-06F_a_002.jpg,1
50.26,28.43,8.43,SE-20_01-06F_a_003.jpg,1
50.19,28.33,12.11,SE-20_01-06F_a_004.jpg,1
50.13,28.33,15.79,SE-20_01-06F_a_005.jpg,1
50.06,28.53,19.47,SE-20_01-06F_a_006.jpg,1
49.9,28.83,23.35,SE-20_01-06F_a_007.jpg,1
49.57,29.33,27.6,SE-20_01-06F_a_008.jpg,1
49.17,26.43,26.73,SE-20_01-06F_a_009.jpg,1
49.41,26.13,22.66,SE-20_01-06F_a_010.jpg,1
49.48,25.93,18.98,SE-20_01-06F_a_011.jpg,1
49.55,25.83,15.3,SE-20_01-06F_a_012.jpg,1
49.53,25.93,11.81,SE-20_01-06F_a_013.jpg,1
50.26,25.93,8.43,SE-20_01-06F_a_014.jpg,1
50.33,26.03,4.75,SE-20_01-06F_a_015.jpg,1
50.39,26.43,1.07,SE-20_01-06F_a_016.jpg,1
50.39,23.83,1.07,SE-20_01-06F_a_017.jpg,1
50.33,23.53,4.75,SE-20_01-06F_a_018.jpg,1
49.6,23.53,8.13,SE-20_01-06F_a_019.jpg,1
50.37,23.33,11.72,SE-20_01-06F_a_020.jpg,1
49.63,23.43,15.1,SE-20_01-06F_a_021.jpg,1
49.66,23.43,18.59,SE-20_01-06F_a_022.jpg,1
49.5,23.63,22.46,SE-20_01-06F_a_023.jpg,1
49.34,23.83,26.34,SE-20_01-06F_a_024.jpg,1
49.43,21.23,26.15,SE-20_01-06F_a_025.jpg,1
49.58,21.13,22.27,SE-20_01-06F_a_026.jpg,1
49.66,21.03,18.59,SE-20_01-06F_a_027.jpg,1
49.72,21.03,14.91,SE-20_01-06F_a_028.jpg,1
49.71,21.03,11.43,SE-20_01-06F_a_029.jpg,1
49.6,21.03,8.13,SE-20_01-06F_a_030.jpg,1
50.33,21.03,4.75,SE-20_01-06F_a_031.jpg,1
49.73,21.23,0.77,SE-20_01-06F_a_032.jpg,1
50.39,18.63,1.07,SE-20_01-06F_a_033.jpg,1
50.33,18.63,4.75,SE-20_01-06F_a_034.jpg,1
49.68,18.63,7.94,SE-20_01-06F_a_035.jpg,1
49.71,18.63,11.43,SE-20_01-06F_a_036.jpg,1
49.72,18.63,14.91,SE-20_01-06F_a_037.jpg,1
49.66,18.63,18.59,SE-20_01-06F_a_038.jpg,1
49.67,18.63,22.08,SE-20_01-06F_a_039.jpg,1
49.52,18.73,25.96,SE-20_01-06F_a_040.jpg,1
49.43,16.23,26.15,SE-20_01-06F_a_041.jpg,1
49.67,16.33,22.08,SE-20_01-06F_a_042.jpg,1
49.74,16.33,18.4,SE-20_01-06F_a_043.jpg,1
49.72,16.33,14.91,SE-20_01-06F_a_044.jpg,1
49.71,16.43,11.43,SE-20_01-06F_a_045.jpg,1
49.68,16.33,7.94,SE-20_01-06F_a_046.jpg,1
50.42,16.33,4.56,SE-20_01-06F_a_047.jpg,1
50.39,16.23,1.07,SE-20_01-06F_a_048.jpg,1
50.39,13.73,1.07,SE-20_01-06F_a_049.jpg,1
50.33,13.83,4.75,SE-20_01-06F_a_050.jpg,1
50.34,13.93,8.23,SE-20_01-06F_a_051.jpg,1
49.71,14.03,11.43,SE-20_01-06F_a_052.jpg,1
49.72,13.93,14.91,SE-20_01-06F_a_053.jpg,1
49.66,14.03,18.59,SE-20_01-06F_a_054.jpg,1
49.58,13.83,22.27,SE-20_01-06F_a_055.jpg,1
49.43,13.73,26.15,SE-20_01-06F_a_056.jpg,1
49.25,11.13,26.54,SE-20_01-06F_a_057.jpg,1
49.5,11.33,22.46,SE-20_01-06F_a_058.jpg,1
49.57,11.53,18.78,SE-20_01-06F_a_059.jpg,1
49.63,11.63,15.1,SE-20_01-06F_a_060.jpg,1
50.28,11.63,11.92,SE-20_01-06F_a_061.jpg,1
50.26,11.53,8.43,SE-20_01-06F_a_062.jpg,1
50.24,11.43,4.94,SE-20_01-06F_a_063.jpg,1
50.31,11.23,1.26,SE-20_01-06F_a_064.jpg,1
