x,y,z,name
0.44,39.37,131.43,N+4_a_001.JPG
0.43,39.39,128.84,N+4_a_002.JPG
0.56,39.45,125.31,N+4_a_003.JPG
0.44,39.43,123.66,N+4_a_004.JPG
0.44,39.47,121.75,N+4_a_005.JPG
0.53,37.49,121.09,N+4_a_006.JPG
0.44,37.52,129,N+4_a_007.JPG
0.43,37.5,126.61,N+4_a_008.JPG
0.43,37.42,128.93,N+4_a_009.JPG
0.44,37.51,131.55,N+4_a_010.JPG
0.45,36.15,131.92,N+4_a_011.JPG
0.44,36.03,129.3,N+4_a_012.JPG
0.43,36.1,126.8,N+4_a_013.JPG
0.43,36.14,124.15,N+4_a_014.JPG
0.48,36.19,121.47,N+4_a_015.JPG
0.5,34.29,121.49,N+4_a_016.JPG
0.45,34.3,124.14,N+4_a_017.JPG
0.43,34.3,126.85,N+4_a_018.JPG
0.44,34.24,129.24,N+4_a_019.JPG
0.45,34.36,131.89,N+4_a_020.JPG
0.43,32.53,131.88,N+4_a_021.JPG
0.44,32.58,129.31,N+4_a_022.JPG
0.42,32.57,126.92,N+4_a_023.JPG
0.44,32.59,124.16,N+4_a_024.JPG
0.49,32.53,121.47,N+4_a_025.JPG
0.49,30.69,121.35,N+4_a_026.JPG
0.44,30.75,124.16,N+4_a_027.JPG
0.43,30.7,126.79,N+4_a_028.JPG
0.43,30.7,129.31,N+4_a_029.JPG
0.44,30.63,131.89,N+4_a_030.JPG
0.45,29.02,132.02,N+4_a_031.JPG
0.43,29.3,129.26,N+4_a_032.JPG
0.43,29.39,126.75,N+4_a_033.JPG
0.43,29.32,124.01,N+4_a_034.JPG
0.49,29.02,121.34,N+4_a_035.JPG
0.48,27.06,121.03,N+4_a_036.JPG
0.42,27.39,123.88,N+4_a_037.JPG
0.41,27.35,126.59,N+4_a_038.JPG
0.44,27.39,129.13,N+4_a_039.JPG
0.44,27.45,131.81,N+4_a_040.JPG
0.45,25.35,131.9,N+4_a_041.JPG
0.44,25.41,129.1,N+4_a_042.JPG
0.44,25.36,126.35,N+4_a_043.JPG
0.41,25.14,123.61,N+4_a_044.JPG
0.45,25,120.62,N+4_a_045.JPG
0.44,57.52,131.62,N+4_b_001.JPG
0.43,58.5,129.47,N+4_b_002.JPG
0.54,58.12,126.23,N+4_b_003.JPG
0.4,58.17,123.73,N+4_b_004.JPG
0.45,58.45,121.02,N+4_b_005.JPG
0.45,56.56,121.17,N+4_b_006.JPG
0.41,56.65,123.85,N+4_b_007.JPG
0.43,56.7,126.44,N+4_b_008.JPG
0.43,56.61,128.89,N+4_b_009.JPG
0.44,56.64,131.38,N+4_b_010.JPG
0.44,54.84,131.42,N+4_b_011.JPG
0.41,54.84,128.91,N+4_b_012.JPG
0.51,54.84,126.32,N+4_b_013.JPG
0.4,54.78,123.79,N+4_b_014.JPG
0.45,54.91,121.14,N+4_b_015.JPG
0.46,53.25,121.1,N+4_b_016.JPG
0.4,53.2,123.85,N+4_b_017.JPG
0.48,53.17,126.29,N+4_b_018.JPG
0.43,53.19,128.87,N+4_b_019.JPG
0.44,53.26,131.35,N+4_b_020.JPG
0.45,51.46,131.31,N+4_b_021.JPG
0.43,51.41,128.8,N+4_b_022.JPG
0.43,51.37,126.27,N+4_b_023.JPG
0.4,51.46,123.89,N+4_b_024.JPG
0.46,51.42,121.17,N+4_b_025.JPG
0.48,49.57,121.12,N+4_b_026.JPG
0.41,49.65,123.66,N+4_b_027.JPG
0.54,49.75,126.36,N+4_b_028.JPG
0.43,49.62,128.86,N+4_b_029.JPG
0.44,49.74,131.34,N+4_b_030.JPG
0.44,48.08,131.3,N+4_b_031.JPG
0.44,48.07,128.62,N+4_b_032.JPG
0.42,48.07,126.09,N+4_b_033.JPG
0.46,48.04,123.5,N+4_b_034.JPG
0.44,47.87,120.87,N+4_b_035.JPG
0.48,45.91,120.52,N+4_b_036.JPG
0.49,46.03,123.43,N+4_b_037.JPG
0.49,45.97,125.98,N+4_b_038.JPG
0.43,45.95,128.53,N+4_b_039.JPG
0.44,45.87,131.29,N+4_b_040.JPG
0.44,43.84,131.33,N+4_b_041.JPG
0.43,44,128.47,N+4_b_042.JPG
0.43,44.08,125.81,N+4_b_043.JPG
0.46,43.94,123,N+4_b_044.JPG
0.46,43.76,120.09,N+4_b_045.JPG
