x,y,z,name,state
1.61,15.53,-0.32,SW-20_01-03F_i_001.jpg,1
4.03,15.43,-0.38,SW-20_01-03F_i_002.jpg,1
7.12,15.23,-0.16,SW-20_01-03F_i_003.jpg,1
9.62,15.23,-0.41,SW-20_01-03F_i_004.jpg,1
12.04,15.23,-0.47,SW-20_01-03F_i_005.jpg,1
14.47,15.23,-0.55,SW-20_01-03F_i_006.jpg,1
16.97,15.33,-0.8,SW-20_01-03F_i_007.jpg,1
20.15,15.53,-0.77,SW-20_01-03F_i_008.jpg,1
19.48,13.53,-1.07,SW-20_01-03F_i_009.jpg,1
16.89,13.43,-0.61,SW-20_01-03F_i_010.jpg,1
14.47,13.33,-0.55,SW-20_01-03F_i_011.jpg,1
12.04,13.33,-0.47,SW-20_01-03F_i_012.jpg,1
9.54,13.33,-0.22,SW-20_01-03F_i_013.jpg,1
7.12,13.43,-0.16,SW-20_01-03F_i_014.jpg,1
4.6,13.53,0.11,SW-20_01-03F_i_015.jpg,1
1.44,13.63,0.06,SW-20_01-03F_i_016.jpg,1
1.44,11.63,0.06,SW-20_01-03F_i_017.jpg,1
4.52,11.53,0.3,SW-20_01-03F_i_018.jpg,1
7.03,11.53,0.04,SW-20_01-03F_i_019.jpg,1
9.54,11.53,-0.22,SW-20_01-03F_i_020.jpg,1
12.04,11.53,-0.47,SW-20_01-03F_i_021.jpg,1
14.47,11.53,-0.55,SW-20_01-03F_i_022.jpg,1
16.97,11.53,-0.8,SW-20_01-03F_i_023.jpg,1
19.48,11.53,-1.07,SW-20_01-03F_i_024.jpg,1
37.75,8.33,39.67,SW-20_01-03F_i_025.jpg,1
16.97,9.73,-0.8,SW-20_01-03F_i_026.jpg,1
14.47,9.73,-0.55,SW-20_01-03F_i_027.jpg,1
12.04,9.73,-0.47,SW-20_01-03F_i_028.jpg,1
9.54,9.73,-0.22,SW-20_01-03F_i_029.jpg,1
7.03,9.63,0.04,SW-20_01-03F_i_030.jpg,1
4.43,9.63,0.49,SW-20_01-03F_i_031.jpg,1
-12.52,8.33,41.56,SW-20_01-03F_i_032.jpg,1
-12.08,2.93,40.6,SW-20_01-03F_i_033.jpg,1
4.43,7.73,0.49,SW-20_01-03F_i_034.jpg,1
6.94,7.83,0.24,SW-20_01-03F_i_035.jpg,1
9.54,7.83,-0.22,SW-20_01-03F_i_036.jpg,1
11.96,7.93,-0.28,SW-20_01-03F_i_037.jpg,1
14.47,7.93,-0.55,SW-20_01-03F_i_038.jpg,1
16.97,7.83,-0.8,SW-20_01-03F_i_039.jpg,1
19.48,7.73,-1.07,SW-20_01-03F_i_040.jpg,1
26.64,2.93,13.08,SW-20_01-03F_i_041.jpg,1
19.29,4.93,4.65,SW-20_01-03F_i_042.jpg,1
14.47,6.03,-0.55,SW-20_01-03F_i_043.jpg,1
11.96,6.03,-0.28,SW-20_01-03F_i_044.jpg,1
9.54,5.93,-0.22,SW-20_01-03F_i_045.jpg,1
6.94,5.93,0.24,SW-20_01-03F_i_046.jpg,1
2.65,4.63,6.18,SW-20_01-03F_i_047.jpg,1
-5.93,0.93,23.43,SW-20_01-03F_i_048.jpg,1
-1.41,0.63,9.92,SW-20_01-03F_i_049.jpg,1
3.52,2.53,4.25,SW-20_01-03F_i_050.jpg,1
6.44,2.63,4.88,SW-20_01-03F_i_051.jpg,1
9.52,2.63,5.11,SW-20_01-03F_i_052.jpg,1
12.78,2.63,4.95,SW-20_01-03F_i_053.jpg,1
16.12,2.73,4.61,SW-20_01-03F_i_054.jpg,1
19.15,2.93,3.2,SW-20_01-03F_i_055.jpg,1
21.92,2.83,2.36,SW-20_01-03F_i_056.jpg,1
19.2,2.73,-3.98,SW-20_01-03F_i_057.jpg,1
17.18,2.73,-3.03,SW-20_01-03F_i_058.jpg,1
14.49,2.73,-2.38,SW-20_01-03F_i_059.jpg,1
11.99,2.73,-2.13,SW-20_01-03F_i_060.jpg,1
9.57,2.63,-2.06,SW-20_01-03F_i_061.jpg,1
7.15,2.63,-1.99,SW-20_01-03F_i_062.jpg,1
4.99,2.63,-2.5,SW-20_01-03F_i_063.jpg,1
3.13,3.43,-5.44,SW-20_01-03F_i_064.jpg,1
21.29,15.43,0.21,SW-20_01-03F_j_001.jpg,1
24.64,15.13,-0.12,SW-20_01-03F_j_002.jpg,1
27.9,15.03,-0.28,SW-20_01-03F_j_003.jpg,1
30.4,14.93,-0.54,SW-20_01-03F_j_004.jpg,1
33.66,14.93,-0.7,SW-20_01-03F_j_005.jpg,1
36.26,14.93,-1.14,SW-20_01-03F_j_006.jpg,1
39.51,15.03,-1.3,SW-20_01-03F_j_007.jpg,1
39.43,13.03,-1.11,SW-20_01-03F_j_008.jpg,1
36.74,12.93,-0.46,SW-20_01-03F_j_009.jpg,1
33.58,12.93,-0.51,SW-20_01-03F_j_010.jpg,1
30.4,12.93,-0.54,SW-20_01-03F_j_011.jpg,1
27.81,12.93,-0.09,SW-20_01-03F_j_012.jpg,1
24.55,13.03,0.07,SW-20_01-03F_j_013.jpg,1
19.34,13.83,6.3,SW-20_01-03F_j_014.jpg,1
16.7,11.23,13.92,SW-20_01-03F_j_015.jpg,1
24.55,10.93,0.07,SW-20_01-03F_j_016.jpg,1
27.81,10.93,-0.09,SW-20_01-03F_j_017.jpg,1
30.4,10.93,-0.54,SW-20_01-03F_j_018.jpg,1
33.58,10.93,-0.51,SW-20_01-03F_j_019.jpg,1
36.08,10.93,-0.76,SW-20_01-03F_j_020.jpg,1
39.34,10.93,-0.91,SW-20_01-03F_j_021.jpg,1
39.34,8.93,-0.91,SW-20_01-03F_j_022.jpg,1
