x,y,z,name
1.84,31.25,81,W+4_c_001.JPG
4.13,31.18,81.01,W+4_c_002.JPG
6.64,31.3,81.01,W+4_c_003.JPG
8.97,31.19,81.12,W+4_c_004.JPG
11.51,31.3,80.99,W+4_c_005.JPG
11.26,29.43,81,W+4_c_006.JPG
8.83,29.47,81,W+4_c_007.JPG
6.44,29.45,81.01,W+4_c_008.JPG
4.16,29.44,81.02,W+4_c_009.JPG
1.62,29.55,81.01,W+4_c_010.JPG
1.54,27.8,81.01,W+4_c_011.JPG
3.99,27.71,81.01,W+4_c_012.JPG
6.3,27.71,81.02,W+4_c_013.JPG
8.57,27.8,81.14,W+4_c_014.JPG
11.1,27.69,81,W+4_c_015.JPG
11.09,25.74,81.01,W+4_c_016.JPG
8.67,25.84,81,W+4_c_017.JPG
6.2,25.79,81.02,W+4_c_018.JPG
3.82,25.84,81.02,W+4_c_019.JPG
1.6,25.9,81.01,W+4_c_020.JPG
1.62,24.04,81.01,W+4_c_021.JPG
3.78,24.02,81.02,W+4_c_022.JPG
6.15,24.02,81.02,W+4_c_023.JPG
8.71,23.95,81.08,W+4_c_024.JPG
11.09,24.04,81,W+4_c_025.JPG
11.24,22.29,81,W+4_c_026.JPG
8.79,22.36,81.03,W+4_c_027.JPG
6.2,22.39,81.03,W+4_c_028.JPG
3.91,22.26,81.03,W+4_c_029.JPG
1.74,22.28,81.03,W+4_c_030.JPG
1.39,20.28,81.02,W+4_c_031.JPG
4.07,20.56,81.03,W+4_c_032.JPG
6.2,20.54,81.03,W+4_c_033.JPG
8.71,20.54,81.04,W+4_c_034.JPG
11.13,20.7,81,W+4_c_035.JPG
11.32,18.76,81,W+4_c_036.JPG
8.96,18.92,81.16,W+4_c_037.JPG
6.39,18.98,81.03,W+4_c_038.JPG
3.61,18.88,81.04,W+4_c_039.JPG
1.33,18.87,81.02,W+4_c_040.JPG
1.38,16.41,81.04,W+4_c_041.JPG
4.05,16.88,81.04,W+4_c_042.JPG
6.73,16.93,81.04,W+4_c_043.JPG
9.14,16.78,81.06,W+4_c_044.JPG
11.74,16.62,81,W+4_c_045.JPG
18.05,32.62,80.98,W+4_d_001.JPG
20.73,32.36,80.98,W+4_d_002.JPG
23.32,32.12,80.97,W+4_d_003.JPG
25.82,32.23,80.97,W+4_d_004.JPG
28.17,32.22,80.95,W+4_d_005.JPG
28.01,30.16,80.96,W+4_d_006.JPG
25.65,30,80.97,W+4_d_007.JPG
23.08,30.09,80.97,W+4_d_008.JPG
20.72,30.15,81.07,W+4_d_009.JPG
18.12,30.28,80.99,W+4_d_010.JPG
18.18,28.4,80.98,W+4_d_011.JPG
20.71,28.16,80.99,W+4_d_012.JPG
23.23,28.11,80.98,W+4_d_013.JPG
25.56,28.14,80.97,W+4_d_014.JPG
28.12,28.02,80.96,W+4_d_015.JPG
28.09,26.14,80.96,W+4_d_016.JPG
25.56,26.2,80.98,W+4_d_017.JPG
23.09,26.21,80.98,W+4_d_018.JPG
20.62,26.09,80.99,W+4_d_019.JPG
18.1,26.12,80.99,W+4_d_020.JPG
18.2,24.07,80.99,W+4_d_021.JPG
20.75,24.25,81,W+4_d_022.JPG
23.25,24.27,80.98,W+4_d_023.JPG
25.68,24.32,80.98,W+4_d_024.JPG
28.13,24.47,80.96,W+4_d_025.JPG
28.15,22.57,80.95,W+4_d_026.JPG
25.65,22.43,80.98,W+4_d_027.JPG
23.26,22.18,80.98,W+4_d_028.JPG
20.69,22.12,80.96,W+4_d_029.JPG
18.11,21.93,80.99,W+4_d_030.JPG
18.25,19.85,80.98,W+4_d_031.JPG
20.8,20.18,81,W+4_d_032.JPG
23.31,20.22,80.99,W+4_d_033.JPG
25.81,20.1,80.98,W+4_d_034.JPG
28.26,20.19,80.96,W+4_d_035.JPG
28.26,17.92,80.97,W+4_d_036.JPG
25.8,17.95,80.99,W+4_d_037.JPG
23.41,18.03,81,W+4_d_038.JPG
20.82,17.85,80.98,W+4_d_039.JPG
18.21,17.81,80.99,W+4_d_040.JPG
18.23,15.4,81.01,W+4_d_041.JPG
20.78,15.71,81.05,W+4_d_042.JPG
23.52,15.87,81,W+4_d_043.JPG
